"transactionNubmer","milliseconds"
"1","38036,046"
"1","38154,583"
"1","38179,171"
"1","38434,513"
"1","38483,354"
"1","38622,922"
"1","38645,893000000004"
"1","38770,356"
"1","38780,295"
"1","38861,238"
"1","38862,629"
"1","38912,351"
"1","39008,653"
"1","39009,795"
"1","39065,141"
"1","39101,41"
"1","39147,067"
"1","39147,518000000004"
"1","39222,382"
"1","39222,406"
"1","39222,503000000004"
"1","39322,925"
"1","39324,816"
"1","39328,729"
"1","39419,437"
"1","39440,07"
"1","39440,9"
"1","39440,888"
"1","39592,094"
"1","39698,407"
"1","39718,545"
"1","39718,593"
"1","39719,092000000004"
"1","39719,826"
"1","39817,087"
"1","39819,386"
"1","39965,473"
"1","39965,777"
"1","39965,913"
"1","39965,947"
"1","39967,694"
"1","39989,234000000004"
"1","40077,187"
"1","40119,355"
"1","40119,321"
"1","40160,388"
"1","40214,221"
"1","40233,959"
"1","40234,8"
"1","40360,829"
"2","37894,785"
"2","37685,796"
"2","38348,633"
"2","38222,874"
"2","38798,293"
"2","37969,979"
"2","38026,727"
"2","38396,442"
"2","38278,555"
"2","38464,965000000004"
"2","38526,05"
"2","38410,052"
"2","38801,159"
"2","38611,228"
"2","38321,472"
"2","38488,662000000004"
"2","38945,429000000004"
"2","38914,985"
"2","38148,108"
"2","39026,317"
"2","39028,314"
"2","39101,614"
"2","38995,766"
"2","38700,266"
"2","39076,969"
"2","38861,512"
"2","38515,014"
"2","39336,798"
"2","39262,339"
"2","39265,200000000004"
"2","38671,886"
"2","39087,218"
"2","38807,21"
"2","38981,809"
"2","39845,833"
"2","39112,158"
"2","39302,0"
"2","39208,471"
"2","39455,796"
"2","39264,067"
"2","39641,636"
"2","39732,365"
"2","39406,46"
"2","39274,091"
"2","39474,321"
"2","39936,840000000004"
"2","39433,178"
"2","39899,682"
"2","40083,516"
"2","42703,508"
"3","41500,068"
"3","41467,769"
"3","41764,424"
"3","42201,715000000004"
"3","42109,57"
"3","42304,552"
"3","42136,975"
"3","41875,394"
"3","42576,807"
"3","41783,242"
"3","42624,072"
"3","40704,032"
"3","42138,426"
"3","42439,094"
"3","41521,415"
"3","41189,823000000004"
"3","42506,79"
"3","42109,75"
"3","41065,776"
"3","42118,303"
"3","42117,448000000004"
"3","41515,031"
"3","42647,011"
"3","42178,56"
"3","42404,438"
"3","41838,961"
"3","42329,395000000004"
"3","41845,021"
"3","42076,386"
"3","41483,73"
