"transactionNubmer","milliseconds"
"1","41760,589"
"1","42006,583"
"1","42088,618"
"1","42186,383"
"1","42189,061"
"1","42220,383"
"1","42220,645000000004"
"1","42434,386"
"1","42439,016"
"1","42440,163"
"1","42498,171"
"1","42555,431000000004"
"1","42597,561"
"1","42789,761"
"1","42792,808"
"1","42835,054000000004"
"1","42998,05"
"1","42998,058"
"1","43185,609000000004"
"1","43200,007"
"1","43200,132"
"1","43296,752"
"1","43350,869"
"1","43466,201"
"1","43488,939"
"1","43491,053"
"1","43566,903"
"1","43683,3"
"1","43732,926"
"1","43733,063"
"1","43958,593"
"1","43958,796"
"1","43959,913"
"1","43960,201"
"1","43960,371"
"1","44203,873"
"1","44204,195"
"1","44204,29"
"1","44204,344"
"1","44362,075000000004"
"1","44458,829"
"1","44461,247"
"1","44465,526"
"1","44566,255"
"1","44672,461"
"1","44672,427"
"1","44705,08"
"1","44705,701"
"1","44758,286"
"1","44915,967000000004"
"2","45718,51"
"2","45576,618"
"2","45018,421"
"2","45801,618"
"2","45484,728"
"2","46267,211"
"2","45384,621"
"2","46601,476"
"2","47514,166"
"2","46666,783"
"2","46827,236000000004"
"2","47166,554000000004"
"2","47096,394"
"2","47284,008"
"2","48053,474"
"2","46827,166"
"2","46114,274"
"2","48073,584"
"2","48190,589"
"2","47088,507"
"2","48459,340000000004"
"2","46831,068"
"2","47558,294"
"2","48833,13"
"2","46858,129"
"2","46770,818"
"2","47161,045"
"2","47741,917"
"2","47963,314"
"2","48072,026"
"2","47711,664000000004"
"2","47480,79"
"2","48520,106"
"2","46977,033"
"2","48292,221"
"2","47924,701"
"2","48408,696"
"2","49687,933000000005"
"2","48344,759"
"2","48038,167"
"2","47631,997"
"2","50871,636"
"2","49956,897000000004"
"2","50372,043"
"2","50325,167"
"2","50435,545"
"2","50464,22"
"2","50972,325000000004"
"2","51337,003000000004"
"2","50869,945"
"3","54451,382"
"3","54960,418"
"3","55345,214"
"3","55584,474"
"3","56462,425"
"3","54921,147000000004"
"3","54437,132"
"3","56690,305"
"3","54188,82"
"3","57351,176"
"3","55111,19"
"3","55520,633"
"3","55251,950000000004"
"3","56180,201"
"3","54566,947"
"3","55622,14"
"3","55507,684"
"3","55302,285"
"3","54524,814"
"3","55033,926"
"3","56309,299"
"3","55822,902"
"3","56225,711"
"3","54637,488"
"3","57161,532"
"3","56644,768000000004"
"3","55925,73"
"3","56617,391"
"3","56792,872"
"3","55934,605"
"3","55576,389"
"3","56019,590000000004"
"3","53488,91"
"3","54759,322"
"3","56607,926"
"3","57672,804000000004"
"3","56657,06"
"3","56740,519"
"3","57046,559"
"3","56141,64"
"3","56756,911"
"3","56781,266"
"3","55205,739"
"3","55187,199"
"3","55518,073000000004"
