"transactionNubmer","milliseconds"
"1","47074,866"
"1","47126,631"
"1","47244,212"
"1","47397,255"
"1","47422,985"
"1","47524,649"
"1","47576,39"
"1","47672,926"
"1","47713,397000000004"
"1","47724,102"
"1","47725,544"
"1","47750,156"
"1","47827,92"
"1","47827,919"
"1","48086,746"
"1","48238,539000000004"
"1","48238,862"
"1","48339,773"
"1","48339,871"
"1","48341,984000000004"
"1","48342,149"
"1","48342,164000000004"
"1","48342,175"
"1","48363,26"
"1","48365,202"
"1","48610,093"
"1","48611,979"
"1","48612,174"
"1","48612,192"
"1","48615,643000000004"
"1","48689,027"
"1","48689,777"
"1","48710,038"
"1","48774,221"
"1","48930,905"
"1","49039,427"
"1","49040,474"
"1","49040,886"
"1","49041,561"
"1","49120,285"
"1","49120,652"
"1","49120,79"
"1","49250,679000000004"
"1","49251,092000000004"
"1","49253,673"
"1","49329,454"
"1","49329,396"
"1","49359,217000000004"
"1","49638,374"
"1","49644,081"
"2","51219,476"
"2","51586,492"
"2","52060,246"
"2","51590,088"
"2","51696,137"
"2","51667,828"
"2","52236,032"
"2","52455,809"
"2","51474,818"
"2","52500,131"
"2","51902,592000000004"
"2","52521,81"
"2","52696,886"
"2","52743,001000000004"
"2","52574,04"
"2","52460,656"
"2","52545,211"
"2","52649,06"
"2","52638,919"
"2","52420,611000000004"
"2","52750,283"
"2","52777,269"
"2","52775,737"
"2","52621,962"
"2","52896,606"
"2","52636,289000000004"
"2","53754,369"
"2","52348,888"
"2","53773,886"
"2","52598,722"
"2","52101,993"
"2","53392,846"
"2","53011,575000000004"
"2","53464,708"
"2","53552,356"
"2","53638,602"
"2","53295,323000000004"
"2","53833,361000000004"
"2","53227,514"
"2","53409,981"
"2","54054,156"
"2","53837,8"
"2","54411,653"
"2","54303,057"
"2","54043,173"
"2","54554,153"
"2","54476,853"
"2","54750,233"
"2","55083,547"
"2","55314,285"
"3","51507,854"
"3","51979,493"
"3","52242,273"
"3","51676,821"
"3","52652,343"
"3","52467,571"
"3","52749,415"
"3","52261,912000000004"
"3","52481,772000000004"
"3","52163,749"
"3","51456,146"
"3","52135,675"
"3","51644,685"
"3","52105,163"
"3","52201,997"
"3","51930,322"
"3","51954,965000000004"
"3","51667,68"
"3","52345,556000000004"
"3","52479,597"
"3","52513,073000000004"
"3","52455,782"
"3","54459,827"
"3","52796,597"
"3","52345,885"
"3","52588,515"
"3","51951,614"
"3","51960,944"
"3","55070,239"
"3","52363,777"
"3","52297,389"
"3","55853,834"
"3","55755,116"
"3","52861,941"
"3","53058,405"
"3","52959,049"
"3","51963,268000000004"
"3","55261,653"
"3","53571,53"
"3","52981,997"
"3","52048,368"
"3","52664,383"
"3","52948,036"
"3","51332,62"
"3","53164,713"
"3","52326,923"
"3","54870,404"
"3","54599,832"
"3","56317,506"
"3","56979,664000000004"
"4","50389,164000000004"
"4","51229,289000000004"
"4","51822,977"
"4","49916,091"
"4","52512,33"
"4","52036,862"
"4","52278,104"
"4","52449,676"
"4","52470,046"
"4","53061,111000000004"
"4","52245,278"
"4","52694,595"
"4","51981,590000000004"
"4","52666,336"
"4","52876,345"
"4","53316,627"
"4","52793,162000000004"
"4","52893,678"
"4","53032,069"
"4","53097,417"
