"transactionNubmer","milliseconds"
"1","50484,467000000004"
"1","50491,464"
"1","50491,657"
"1","50674,474"
"1","50745,935"
"1","50811,334"
"1","50881,956"
"1","51009,239"
"1","51059,975"
"1","51060,247"
"1","51060,276"
"1","51061,415"
"1","51061,787000000004"
"1","51062,137"
"1","51062,168"
"1","51062,517"
"1","51157,83"
"1","51212,839"
"1","51297,642"
"1","51662,216"
"1","51990,228"
"1","51990,289000000004"
"1","51991,069"
"1","52032,358"
"1","52032,768000000004"
"1","52032,786"
"1","52034,153"
"1","52034,267"
"1","52101,905"
"1","52102,862"
"1","52215,142"
"1","52286,979"
"1","52423,867"
"1","52461,566"
"1","52461,66"
"1","52588,93"
"1","52589,179000000004"
"1","52656,212"
"1","52656,6"
"1","52656,983"
"1","52657,133"
"1","52947,574"
"1","52947,439"
"1","52947,737"
"1","52947,896"
"1","52952,745"
"1","53041,903"
"1","53042,612"
"1","53315,219000000005"
"1","53315,944"
"2","51939,968"
"2","53685,191"
"2","53992,898"
"2","54783,257"
"2","54529,313"
"2","54581,406"
"2","55066,193"
"2","55325,332"
"2","55680,108"
"2","56354,191"
"2","56445,819"
"2","56348,155"
"2","56927,840000000004"
"2","56772,179000000004"
"2","57054,374"
"2","57518,504"
"2","57542,947"
"2","56479,823000000004"
"2","55993,453"
"2","57390,538"
"2","56695,594000000005"
"2","56807,771"
"2","57216,252"
"2","57546,198000000004"
"2","58009,891"
"2","57191,168"
"2","57222,782"
"2","56795,492"
"2","57199,23"
"2","57335,881"
"2","57488,195"
"2","58013,874"
"2","57895,361000000004"
"2","58272,567"
"2","57402,899"
"2","58397,688"
"2","58451,892"
"2","58469,141"
"2","58684,545"
"2","58916,848"
"2","59446,318"
"2","58475,098"
"2","58936,133"
"2","58997,132"
"2","58907,696"
"2","59407,969000000005"
"2","59881,635"
"2","60367,672"
"2","59812,126000000004"
"2","60318,648"
"3","72454,977"
"3","71720,933"
"3","71303,504"
"3","70506,101"
"3","71653,777"
"3","71243,992"
"3","72159,837"
"3","70157,942"
"3","71577,373"
"3","72417,289"
"3","71654,746"
"3","70019,854"
"3","70934,115"
"3","72055,495"
"3","71050,024"
"3","70777,319"
"3","71894,319"
"3","74088,262"
"3","71581,769"
"3","72542,746"
"3","71497,126"
"3","73947,738"
"3","71768,543"
"3","72557,78600000001"
"3","71044,592"
"3","72758,338"
"3","72285,473"
"3","72324,14600000001"
"3","72255,15000000001"
"3","72428,255"
"3","71158,399"
"3","71890,614"
"3","70841,303"
"3","73843,609"
"3","71709,596"
"3","71354,905"
"3","71655,67"
"3","70883,636"
"3","74652,837"
"3","70879,259"
"3","70000,24"
"3","71191,731"
"3","71243,231"
"3","71817,939"
"3","71258,23700000001"
"3","70873,274"
"3","70922,031"
"3","71054,647"
"3","74060,399"
"3","72970,625"
"4","64319,509"
"4","64229,213"
"4","66526,807"
"4","65140,134"
"4","65604,61200000001"
"4","65643,853"
"4","63958,405"
"4","64060,997"
"4","65757,312"
"4","63385,342000000004"
"4","63247,67"
"4","64079,278"
"4","64401,596"
"4","64962,949"
"4","64197,675"
"4","66453,87"
"4","63429,747"
"4","65744,64"
"4","64060,76"
"4","63750,945"
"4","64346,262"
"4","64728,844000000005"
"4","64268,466"
"4","66287,279"
"4","65108,139"
"4","64631,128000000004"
"4","64870,792"
"4","65570,25200000001"
"4","65543,94"
"4","65187,625"
"4","64015,799"
"4","65350,442"
"4","66314,464"
"4","65294,783"
"4","65939,964"
"4","65486,034"
"4","65010,752"
"4","65234,497"
"4","66220,526"
"4","66438,299"
"4","66577,886"
"4","66762,046"
"4","66747,04000000001"
"4","65658,452"
"4","67431,504"
"4","66426,46"
"4","66621,037"
"4","65987,423"
"4","67717,17"
"4","66130,472"
"5","66173,603"
"5","65539,547"
"5","67097,011"
"5","66405,738"
"5","67254,081"
"5","65962,353"
"5","67161,186"
"5","66520,528"
"5","66126,867"
"5","66865,519"
"5","64047,169"
"5","67330,717"
"5","67048,052"
"5","67801,054"
"5","67203,914"
"5","67475,75"
"5","67607,298"
"5","66060,509"
"5","66699,494"
"5","66842,185"
"5","66422,222"
"5","65865,971"
"5","65668,728"
"5","67164,662"
"5","64896,563"
"5","66116,295"
"5","66290,929"
"5","66289,338"
"5","63481,560000000005"
"5","65826,895"
"5","66160,919"
"5","66562,072"
"5","65098,104"
"5","65352,117"
"5","64619,397000000004"
"5","63683,560000000005"
"5","67833,201"
"5","65518,691"
"5","64152,090000000004"
"5","64722,844000000005"
"5","64747,253000000004"
"5","63333,399000000005"
"5","63478,215000000004"
"5","63335,234000000004"
"5","63933,039000000004"
"5","62817,374"
"5","63171,829"
"5","63090,008"
"5","64098,653"
"5","62633,766"
