"transactionNubmer","milliseconds"
"1","42984,241"
"1","43084,94"
"1","43120,387"
"1","43219,905"
"1","43283,544"
"1","43335,075000000004"
"1","43376,357"
"1","43466,5"
"1","43467,697"
"1","43502,706"
"1","43598,217000000004"
"1","43598,439"
"1","43664,371"
"1","43667,571"
"1","43781,515"
"1","43785,565"
"1","43830,573000000004"
"1","43941,151"
"1","43943,283"
"1","44030,469"
"1","44032,94"
"1","44033,186"
"1","44033,495"
"1","44065,769"
"1","44122,617"
"1","44317,086"
"1","44317,602"
"1","44319,325000000004"
"1","44323,901"
"1","44440,03"
"1","44440,155"
"1","44440,133"
"1","44445,353"
"1","44496,754"
"1","44665,643000000004"
"1","44709,935"
"1","44711,343"
"1","44711,419"
"1","44800,972"
"1","44802,089"
"1","44802,055"
"1","44944,24"
"1","44944,308000000005"
"1","44969,755"
"1","45006,577"
"1","45006,878000000004"
"1","45049,048"
"1","45114,713"
"1","45114,742"
"1","45285,728"
"2","45127,466"
"2","45690,954"
"2","45415,124"
"2","45536,124"
"2","45734,821"
"2","45546,656"
"2","45974,167"
"2","45785,635"
"2","45947,343"
"2","45890,200000000004"
"2","46022,548"
"2","46008,31"
"2","45670,766"
"2","46363,279"
"2","46572,763"
"2","46742,207"
"2","45993,814"
"2","46634,064"
"2","46738,225"
"2","46195,969000000005"
"2","46489,686"
"2","46277,325000000004"
"2","46850,792"
"2","46515,083"
"2","46840,549"
"2","46163,192"
"2","46110,444"
"2","46223,758"
"2","45901,052"
"2","46520,252"
"2","46961,479"
"2","46242,73"
"2","46304,085"
"2","47072,726"
"2","46667,134"
"2","46180,045"
"2","46852,178"
"2","46684,125"
"2","46911,517"
"2","47283,475"
"2","46510,078"
"2","46638,813"
"2","47202,322"
"2","46693,718"
"2","46781,785"
"2","46540,153"
"2","47200,86"
"2","48009,043"
"2","46932,069"
"2","47409,46"
"3","49723,249"
"3","49701,631"
"3","50670,087"
"3","50246,125"
"3","50258,654"
"3","47526,016"
"3","50630,259"
"3","48875,066"
"3","49882,646"
"3","49973,248"
"3","50215,371"
"3","50141,146"
"3","50549,156"
"3","48164,102"
"3","48828,307"
"3","49529,444"
"3","48946,725"
"3","49957,593"
"3","49347,161"
"3","50606,765"
"3","50213,31"
"3","50201,646"
"3","49329,261"
"3","49902,454"
"3","51224,473"
"3","49372,839"
"3","49420,282"
"3","49653,021"
"3","49676,33"
"3","49595,673"
"3","50312,634"
"3","49726,052"
"3","50317,671"
"3","49206,465000000004"
"3","50190,162000000004"
"3","50241,093"
"3","50312,805"
"3","50199,072"
"3","49906,507"
"3","50675,761"
"3","50295,153"
"3","50854,921"
"3","50277,729"
"3","50868,853"
"3","50215,557"
"3","50620,737"
"3","50966,867"
"3","52197,467000000004"
"3","50277,78"
"3","50923,156"
"4","49844,487"
"4","49503,674"
"4","50774,765"
"4","51299,836"
"4","50074,802"
"4","51067,559"
"4","50717,049"
"4","50706,632"
"4","51337,24"
"4","49913,687"
"4","50533,792"
"4","50160,44"
"4","51671,419"
"4","52274,406"
"4","50777,326"
"4","51264,338"
"4","50793,304000000004"
"4","51153,033"
"4","51357,67"
"4","50595,437"
"4","51566,486000000004"
"4","51230,003000000004"
"4","49764,066"
"4","51258,137"
"4","51353,466"
"4","51344,294"
"4","50963,836"
"4","50823,566"
"4","51474,235"
"4","50470,578"
"4","50868,872"
"4","51595,201"
"4","51749,783"
"4","51698,426"
"4","50506,499"
"4","50220,422"
"4","50792,174"
"4","51558,233"
"4","51732,425"
"4","51548,751000000004"
"4","50245,268000000004"
"4","51139,037000000004"
"4","52256,432"
"4","50962,129"
"4","51076,939"
"4","52320,096"
"4","53572,270000000004"
"4","52443,869"
"4","51669,327"
"4","51872,218"
"5","51422,644"
"5","51806,698000000004"
"5","50689,22"
"5","50955,412000000004"
"5","50681,664000000004"
"5","50763,576"
"5","51057,518000000004"
"5","50754,798"
"5","50966,22"
"5","50729,85"
"5","50743,766"
"5","50499,47"
"5","51336,515"
"5","50839,331"
"5","50143,244"
"5","51778,651"
"5","51726,212"
"5","51690,898"
"5","51433,369"
"5","51749,263"
"5","51422,825000000004"
"5","51823,414000000004"
"5","51208,56"
"5","50525,786"
"5","50852,008"
"5","51791,598"
"5","51766,026"
"5","51970,807"
"5","51451,798"
"5","51582,251000000004"
"5","51393,719000000005"
"5","50895,748"
"5","51331,646"
"5","51157,829"
"5","51509,355"
"5","51720,831"
"5","51373,55"
"5","51341,671"
"5","50421,011"
"5","51449,418"
"5","51985,605"
"5","50857,612"
"5","51160,612"
"5","50793,074"
"5","50488,376000000004"
"5","50323,687"
"5","50923,836"
"5","51330,696"
"5","51127,006"
"5","51621,552"
"6","49118,9"
"6","49869,74"
"6","50409,483"
"6","50046,167"
"6","51413,404"
"6","50310,953"
"6","50164,731"
"6","51050,498"
"6","50645,51"
"6","49984,291"
"6","51218,798"
"6","51820,925"
"6","51273,213"
"6","51679,048"
"6","51611,646"
"6","51258,615"
"6","50669,65"
"6","50360,766"
"6","51309,739"
"6","52036,265"
"6","51819,189"
"6","50919,434"
"6","50330,919"
"6","51193,185"
"6","51189,577"
"6","51365,614"
"6","51970,543"
"6","50472,781"
"6","50620,306000000004"
"6","50979,606"
"6","51030,801"
"6","50774,130000000005"
"6","50790,582"
"6","51540,886"
"6","49410,124"
"6","51305,065"
"6","51247,073000000004"
"6","51779,36"
"6","50875,482"
"6","50257,18"
"6","51277,622"
"6","50695,888"
"6","51527,295"
"6","51806,312"
"6","52336,091"
"6","51584,185"
"6","50910,872"
"6","52535,563"
"6","53710,453"
"6","55043,646"
"7","50493,111000000004"
"7","51068,344000000005"
"7","50763,61"
"7","50397,767"
"7","51586,742"
"7","49590,274"
"7","50232,357"
"7","50189,903"
"7","50436,256"
"7","52196,123"
"7","50690,639"
"7","49976,398"
"7","50394,04"
"7","50725,887"
"7","50138,807"
"7","51118,244"
"7","51148,626000000004"
"7","50145,904"
"7","53635,252"
"7","50994,809"
"7","50830,256"
"7","51424,749"
"7","50904,015"
"7","51325,707"
"7","50932,687"
"7","51002,735"
"7","50988,542"
"7","50111,498"
"7","51084,359000000004"
"7","51065,152"
"7","51653,653"
"7","51423,054000000004"
"7","51654,072"
"7","51524,199"
"7","53804,402"
"7","52328,397000000004"
"7","51355,507"
"7","51418,925"
"7","49687,299"
"7","50192,714"
"7","52191,998"
"7","51059,238"
"7","50734,084"
"7","50372,21"
"7","50474,584"
"7","51643,873"
"7","50227,519"
"7","52060,315"
"7","48912,905"
"7","49867,963"
